repo_name,stars,forks,issues,license_type,num_files,num_python_files
Linaqruf/kohya-trainer,1534,246,252,Permissive,49,45
microsoft/JARVIS,20959,1761,165,Permissive,80,20
devicons/devicon,3399,1928,400,Permissive,58,15
danielgatis/rembg,9313,1019,235,Permissive,44,26
instaloader/instaloader,2944,399,526,Permissive,60,21
THUDM/VisualGLM-6B,3478,344,291,Permissive,22,13
addi00000/empyrean,8490,402,319,Permissive,24,14
QwenLM/Qwen-VL,1759,125,151,no license file was found,54,20
PromtEngineer/localGPT,16649,1869,408,Permissive,45,10
lmcinnes/umap,1130,158,129,Permissive,97,44
TheR1D/shell_gpt,6291,505,174,Permissive,41,28
jianfch/stable-ts,936,126,142,Permissive,31,30
charlesbel/Microsoft-Rewards-Farmer,816,183,240,Permissive,22,15
AlexxIT/SonoffLAN,752,141,403,Permissive,52,29
iMerica/dj-rest-auth,577,132,115,Permissive,80,34
butaixianran/Stable-Diffusion-Webui-Civitai-Helper,1951,215,203,no license file was found,18,10
X-PLUG/mPLUG-Owl,1581,128,155,Permissive,86,70
XPixelGroup/HAT,725,112,106,Permissive,57,16
IDEA-Research/DINO,900,122,108,Permissive,78,54
yihong0618/xiaogpt,4146,540,257,Permissive,33,26
li-plus/chatglm.cpp,1688,239,125,Permissive,35,13
Facico/Chinese-Vicuna,3833,425,215,Permissive,75,32
shibing624/MedicalGPT,1822,261,240,Permissive,45,17
marcoslucianops/DeepStream-Yolo,710,199,301,Permissive,92,13
pkuliyi2015/multidiffusion-upscaler-for-automatic1111,3619,254,247,no license file was found,13,10
MilesCranmer/PySR,927,111,106,Permissive,84,36
Nixtla/neuralforecast,1505,200,284,no license file was found,87,59
wasserth/TotalSegmentator,908,157,201,Permissive,62,37
littlefs-project/littlefs,1127,203,153,Permissive,66,21
gpuweb/gpuweb,1444,106,650,no license file was found,82,13
kaixindelele/ChatPaper,15440,1673,195,no license file was found,80,31
yihong0618/bilingual_book_maker,6243,758,217,Permissive,51,26
Rudrabha/Wav2Lip,4647,1059,192,no license file was found,42,27
neonbjb/tortoise-tts,9607,1224,412,Permissive,45,33
CHNZYX/Auto_Simulated_Universe,3591,171,162,Permissive,36,21
yifeikong/curl_cffi,758,124,138,Permissive,78,45
jdb78/pytorch-forecasting,1516,261,253,Permissive,81,50
sokrypton/ColabFold,822,257,247,Permissive,52,26
raspberrypi/documentation,506,272,218,no license file was found,83,15
OFA-Sys/Chinese-CLIP,2879,263,193,Permissive,70,38
rom1504/clip-retrieval,1519,149,107,Permissive,64,36
bowang-lab/MedSAM,1230,152,150,Permissive,50,39
continue-revolution/sd-webui-segment-anything,2614,165,125,no license file was found,46,38
lucidrains/audiolm-pytorch,1951,217,140,Permissive,16,14
aminalaee/sqladmin,978,132,137,Permissive,98,41
sherlock-project/sherlock,15320,2423,248,Permissive,34,14
ranaroussi/yfinance,4005,622,388,Permissive,39,24
thuml/Autoformer,1207,274,145,Permissive,58,24
gcorso/DiffDock,689,191,143,Permissive,72,63
rom1504/img2dataset,2180,242,120,Permissive,58,22
lucidrains/denoising-diffusion-pytorch,5282,757,205,Permissive,21,19
ungoogled-software/ungoogled-chromium,3842,202,400,Permissive,71,36
CorentinJ/Real-Time-Voice-Cloning,15347,2178,180,Permissive,65,59
pdfminer/pdfminer.six,1487,188,122,Permissive,96,59
ymcui/Chinese-LLaMA-Alpaca-2,4817,364,259,Permissive,70,40
guoyww/AnimateDiff,5546,429,189,Permissive,52,14
SergeyPirogov/webdriver_manager,1123,158,193,Permissive,54,46
DevilXD/TwitchDropsMiner,876,123,284,Permissive,42,14
soxoj/maigret,7900,539,589,Permissive,82,37
benbusby/whoogle-search,3047,442,203,Permissive,91,25
gboeing/osmnx,946,136,107,Permissive,70,26
triple-Mu/YOLOv8-TensorRT,786,137,122,Permissive,74,22
dvlab-research/LongLoRA,2027,173,118,Permissive,37,27
apple/ml-stable-diffusion,14746,812,201,Permissive,52,16
karpathy/nanoGPT,25087,3582,218,Permissive,19,15
BlinkDL/RWKV-LM,9746,613,152,Permissive,75,51
smart-test-ti/SoloX,792,131,193,Permissive,82,40
01-ai/Yi,4561,240,135,Permissive,62,31
sdatkinson/neural-amp-modeler,1333,115,212,Permissive,77,50
whitead/paper-qa,3053,296,102,Permissive,17,11
TheLastBen/fast-stable-diffusion,6781,1284,1746,Permissive,24,12
PablocFonseca/streamlit-aggrid,540,107,132,Permissive,46,10
jacobgil/pytorch-grad-cam,4059,529,171,Permissive,43,38
tqdm/tqdm,5010,278,116,Permissive,73,62
liucongg/ChatGLM-Finetuning,1787,176,106,no license file was found,30,17
microsoft/Swin-Transformer,4568,873,112,Permissive,84,29
voicepaw/so-vits-svc-fork,6153,868,172,Permissive,92,47
THUDM/ChatGLM3,5954,579,351,Permissive,64,34
al-one/hass-xiaomi-miot,2268,377,771,Permissive,58,33
maurosoria/dirsearch,3000,491,123,Permissive,95,71
OpenEthan/SMSBoom,11465,2696,169,Permissive,19,10
cluic/wxauto,799,155,113,Permissive,16,11
cloneofsimo/lora,5738,432,129,Permissive,25,17
dataabc/weibo-search,701,146,237,no license file was found,12,10
junyanz/pytorch-CycleGAN-and-pix2pix,4201,1129,169,Permissive,65,36
PRBonn/kiss-icp,1076,246,141,Permissive,89,38
brentvollebregt/auto-py-to-exe,1537,275,120,Permissive,58,15
TomSchimansky/CustomTkinter,8870,1099,1007,Permissive,94,86
trevorhobenshield/twitter-api-client,961,128,122,Permissive,14,11
nateraw/stable-diffusion-videos,3596,347,108,Permissive,15,11
bigscience-workshop/petals,7527,398,142,Permissive,91,84
jazzband/pip-tools,1458,121,173,Permissive,83,51
graphdeco-inria/gaussian-splatting,7184,705,425,no license file was found,27,24
yangjianxin1/Firefly,3013,265,163,no license file was found,73,14
WyattBlue/auto-editor,1243,180,123,Permissive,66,51
fastai/nbdev,1440,165,446,Permissive,45,28
THUDM/CogVLM,2296,103,119,Permissive,46,32
lucidrains/imagen-pytorch,7195,734,274,Permissive,18,14
abetlen/llama-cpp-python,4136,528,559,Permissive,84,45
FlareSolverr/FlareSolverr,3067,334,439,Permissive,37,21
HFrost0/bilix,1137,126,111,Permissive,94,65
openai/tiktoken,7160,471,148,Permissive,22,16
aigc-apps/sd-webui-EasyPhoto,3360,259,158,Permissive,82,50
sanchit-gandhi/whisper-jax,3480,306,135,Permissive,18,13
Visualize-ML/Book1_Python-For-Beginners,2405,395,105,no license file was found,22,21
